,Product_code,Warehouse,1 Month Forecast,MAE,MSE,RMSE,Mean,STD,MSE/Mean,RMSE/STD,KS Test Value,KS p-Value,Status
33,Product_0025,Whse_J...Sequential,6651.217054,8346.337395,146160401.6,12089.68162,14023.07692,4736.300706,10422.84817,2.552557865,0.307692308,0.588196066,deploy and monitor
34,Product_0026,Whse_J...Sequential,5206.206973,6207.552913,155130088.3,12455.12298,4491.666667,2604.309996,34537.31095,4.782504001,0.25,0.868981671,deploy
35,Product_0027,Whse_J...Sequential,2265.417992,1321.590576,2258039.751,1502.677527,604.1666667,659.0581453,3737.445105,2.280037866,0.583333333,0.031436056,retrain
36,Product_0028,Whse_J...Sequential,554.845701,849.4648979,949628.8065,974.4889976,816.6666667,751.2027393,1162.810783,1.297238344,0.333333333,0.53609777,deploy and monitor
37,Product_0029,Whse_J...Sequential,49.6075136,244.5787195,87270.3854,295.4156147,179.1666667,136.1040248,487.0905232,2.170513438,0.5,0.099546772,retrain
38,Product_0030,Whse_J...Sequential,822.3132727,968.6946485,1427449.266,1194.759083,319.2307692,196.6434312,4471.527821,6.075764012,0.769230769,0.000499971,retrain
39,Product_0031,Whse_A...Sequential,300.1240058,3603.686417,28143410.87,5305.036369,2533.333333,1118.282413,11109.24113,4.743914691,0.25,0.868981671,deploy
40,Product_0031,Whse_J...Sequential,119915.7082,34104.31446,1505839641,38805.14967,84715.38462,16996.19171,17775.27951,2.283167332,0.538461538,0.044272446,retrain
41,Product_0031,Whse_S...Sequential,2330.847464,4490.125159,57860677.17,7606.620614,1075,2166.842942,53823.88574,3.510462373,0.75,0.001496955,retrain
42,Product_0032,Whse_J...Sequential,15527.12821,4382.05351,27993800.93,5290.916833,12850,7295.032556,2178.505909,0.725276658,0.333333333,0.53609777,deploy and monitor
43,Product_0033,Whse_C...Sequential,54755.42598,28071.24689,1250808747,35366.77462,23346.15385,23401.49947,53576.65144,1.511303781,0.230769231,0.897805704,deploy
44,Product_0033,Whse_J...Sequential,286776.2387,56910.01498,4761596925,69004.32541,189250,44044.72159,25160.35363,1.566687742,0.333333333,0.53609777,deploy and monitor
45,Product_0033,Whse_S...Sequential,877681.2537,310286.974,1.29178E+11,359413.3922,544538.4615,171171.2437,237224.7244,2.09972998,0.538461538,0.044272446,retrain
46,Product_0034,Whse_J...Sequential,14694.35001,4070.598763,22497374.29,4743.139708,7933.333333,2987.287882,2835.803482,1.587774562,0.25,0.868981671,deploy
47,Product_0034,Whse_S...Sequential,1084.471196,2224.25867,8050916.97,2837.413782,450,1037.223859,17890.9266,2.735584761,0.75,0.001496955,retrain
48,Product_0035,Whse_J...Sequential,19334.55694,5665.851024,45720463.09,6761.690845,11841.66667,3849.125081,3860.982105,1.756682546,0.333333333,0.53609777,deploy and monitor
49,Product_0036,Whse_C...Sequential,8.95E-13,1720.893017,6760635.247,2600.12216,1333.333333,1359.125536,5070.476435,1.913084621,0.333333333,0.53609777,deploy and monitor
50,Product_0036,Whse_J...Sequential,46779.12344,19260.78814,458826320.1,21420.23156,15958.33333,7875.220455,28751.51875,2.719953261,0.666666667,0.007859014,retrain
51,Product_0036,Whse_S...Sequential,12615.40146,5555.600777,37025374.2,6084.847919,2083.333333,2928.547232,17772.17962,2.077770115,0.666666667,0.007859014,retrain
52,Product_0037,Whse_J...Sequential,8765.909366,4400.074806,30182840.84,5493.891229,8666.666667,4073.968854,3482.635481,1.348535403,0.5,0.099546772,retrain
53,Product_0038,Whse_C...Sequential,41490.78356,16557.53279,847474709.1,29111.41888,10041.66667,3217.519317,84395.82165,9.047783715,0.333333333,0.53609777,deploy and monitor
54,Product_0039,Whse_J...Sequential,678.3044866,618.3313002,681039.3154,825.2510621,341.6666667,576.5679106,1993.285801,1.431316323,0.333333333,0.53609777,deploy and monitor
55,Product_0040,Whse_J...Sequential,2366.150209,793.4091539,968691.2641,984.2211459,316.6666667,251.1086529,3059.025045,3.91950311,0.666666667,0.007859014,retrain
56,Product_0041,Whse_J...Sequential,673.4389042,226.4671052,74320.29059,272.6174804,141.6666667,149.7683396,524.613816,1.820261085,0.333333333,0.53609777,deploy and monitor
57,Product_0042,Whse_J...Sequential,874.8229578,617.0901824,911015.6845,954.4714163,325,248.7468593,2803.125183,3.837119468,0.416666667,0.255775185,retrain
58,Product_0043,Whse_J...Sequential,1181.494573,1212.935473,3130432.402,1769.302801,1183.333333,605.3006599,2645.435833,2.923014823,0.25,0.868981671,deploy
59,Product_0044,Whse_C...Sequential,283.8217148,8178.135798,350160903.6,18712.58677,8200,18345.57167,42702.54922,1.020005651,0.5,0.167821343,retrain
60,Product_0045,Whse_J...Sequential,119.4703654,1188.923457,2100453.771,1449.294232,1225,1132.934979,1714.656139,1.279238667,0.25,0.868981671,deploy
61,Product_0046,Whse_J...Sequential,846.2186792,655.0801488,795546.1394,891.9339322,458.3333333,322.6410114,1735.737031,2.764477859,0.333333333,0.53609777,deploy and monitor
62,Product_0047,Whse_J...Sequential,4373.877553,1536.533743,4572063.878,2138.238499,2850,1057.118726,1604.23294,2.022704212,0.333333333,0.53609777,deploy and monitor
63,Product_0048,Whse_J...Sequential,176.5815786,99.8846841,13067.67418,114.3139282,106.25,55.08043361,122.9898747,2.075399933,0.333333333,0.53609777,deploy and monitor
64,Product_0049,Whse_J...Sequential,988.3872781,482.80878,322936.9887,568.2754514,307.6923077,230.2558392,1049.545213,2.468017547,0.384615385,0.299920197,retrain
65,Product_0050,Whse_J...Sequential,3245.191337,2430.868115,6863733.6,2619.872821,858.3333333,670.1471646,7996.582835,3.909399248,0.916666667,1.78E-05,retrain
66,Product_0050,Whse_S...Sequential,4853.643463,3750.780403,29436978.76,5425.585569,2970,2164.740169,9911.440661,2.50634494,0.4,0.417523653,deploy and monitor
67,Product_0051,Whse_J...Sequential,1678.706376,2771.32573,11291263.14,3360.247482,2935.416667,2213.534559,3846.562318,1.51804609,0.416666667,0.255775185,retrain
68,Product_0052,Whse_J...Sequential,1924.982127,5334.596633,42119066.74,6489.920396,3937.5,2601.972409,10696.90584,2.494231058,0.5,0.099546772,retrain
69,Product_0053,Whse_J...Sequential,8390.604034,2770.939708,8885670.707,2980.884216,4666.666667,1247.219129,1904.072294,2.390024452,0.75,0.001496955,retrain
70,Product_0054,Whse_J...Sequential,3098.921442,9983.120231,161804753.6,12720.24975,7666.666667,6059.886321,21104.96786,2.09909049,0.416666667,0.255775185,retrain
71,Product_0055,Whse_J...Sequential,2939.923414,1670.635867,3486140.691,1867.120963,1208.333333,557.4620067,2885.081951,3.349324152,0.833333333,0.00020413,retrain
72,Product_0056,Whse_J...Sequential,2693.281983,1123.782961,3450850.273,1857.646434,300,264.5751311,11502.83424,7.021243554,0.5,0.099546772,retrain
73,Product_0057,Whse_J...Sequential,1.09E-21,7.376410606,101.8965322,10.09438122,8.166666667,6.580695674,12.4771264,1.533938313,0.333333333,0.53609777,deploy and monitor
74,Product_0058,Whse_J...Sequential,-0.426587329,23.01661977,1710.771974,41.36147935,28.91666667,32.03762978,59.16214318,1.29102807,0.25,0.868981671,deploy
75,Product_0059,Whse_J...Sequential,-0.401996064,4.672223194,41.57885975,6.448167162,5.5,4.55521679,7.559792681,1.415556594,0.333333333,0.53609777,deploy and monitor
76,Product_0060,Whse_J...Sequential,0.618039283,14.97504016,603.3192883,24.56255867,10.91666667,14.63704395,55.265889,1.678109238,0.333333333,0.53609777,deploy and monitor
77,Product_0061,Whse_J...Sequential,201.1802981,1894.259397,7591699.867,2755.303952,2816.666667,1881.857829,2695.278059,1.464140335,0.583333333,0.031436056,retrain
78,Product_0062,Whse_J...Sequential,8381.009512,12586.17171,216827586.3,14725.0666,28283.33333,8991.740037,7666.267047,1.637621477,0.583333333,0.031436056,retrain
79,Product_0063,Whse_C...Sequential,82593.32562,42844.12258,2700365860,51965.0446,32461.53846,35825.6792,83186.62602,1.450497123,0.615384615,0.01264927,retrain
80,Product_0063,Whse_J...Sequential,92934.36721,46852.16572,3986309880,63137.23054,98333.33333,48215.3733,40538.74455,1.309483391,0.333333333,0.53609777,deploy and monitor
81,Product_0063,Whse_S...Sequential,18032.39337,57351.24691,5298424545,72790.27782,49692.30769,57451.49742,106624.6426,1.266986608,0.307692308,0.588196066,deploy and monitor
82,Product_0064,Whse_J...Sequential,79551.10932,51138.30801,4746162951,68892.40126,138916.6667,49397.12936,34165.54014,1.394664066,0.416666667,0.255775185,retrain
83,Product_0064,Whse_S...Sequential,270452.1434,225449.9147,76591560982,276751.8039,63083.33333,93041.62002,1214133.067,2.974494682,0.666666667,0.007859014,retrain
84,Product_0065,Whse_J...Sequential,150077.4578,179856.4924,52506802883,229143.6294,72166.66667,86182.78379,727576.9453,2.658809791,0.333333333,0.53609777,deploy and monitor
85,Product_0066,Whse_J...Sequential,321241.7254,149691.9404,35055661143,187231.5709,223333.3333,27845.80559,156965.6469,6.723869787,0.666666667,0.007859014,retrain
86,Product_0067,Whse_J...Sequential,1328.066395,1580.694609,3368418.899,1835.325284,1090.909091,792.5270806,3087.717324,2.315788733,0.727272727,0.004366119,retrain
87,Product_0068,Whse_J...Sequential,1067.177161,2016.527316,6544556.075,2558.232999,3350,1994.367068,1953.598829,1.282729263,0.333333333,0.53609777,deploy and monitor
88,Product_0069,Whse_J...Sequential,207.7268101,8630.093765,169663953.4,13025.51164,11483.33333,9723.582445,14774.80001,1.339579493,0.916666667,1.78E-05,retrain
89,Product_0070,Whse_J...Sequential,140181.8347,41074.51934,2623205784,51217.24108,71750,35185.52022,36560.35936,1.455634044,0.5,0.099546772,retrain
90,Product_0070,Whse_S...Sequential,29742.20748,55761.5032,6061464384,77855.4069,66384.61538,57458.39761,91308.26998,1.354987437,0.461538462,0.126487703,retrain
91,Product_0071,Whse_C...Sequential,611936.5607,265399.5067,1.43418E+11,378705.239,130000,108549.5279,1103212.754,3.488778315,0.416666667,0.255775185,retrain
92,Product_0071,Whse_J...Sequential,42604.71138,32669.00847,2348446588,48460.7737,69416.66667,45919.23768,33831.16333,1.055347958,0.333333333,0.53609777,deploy and monitor
93,Product_0071,Whse_S...Sequential,3718.045929,44999.72483,3992865420,63189.12422,29250,25265.6717,136508.2195,2.500987307,0.333333333,0.53609777,deploy and monitor
94,Product_0072,Whse_J...Sequential,-1.10E-10,67777.27884,7238354814,85078.52146,83454.54545,66186.18867,86734.09908,1.285442223,0.454545455,0.211476088,retrain
95,Product_0073,Whse_J...Sequential,328953.3888,156764.2353,54482826275,233415.5656,71666.66667,113067.3349,760225.4829,2.064394335,0.333333333,0.53609777,deploy and monitor
96,Product_0074,Whse_J...Sequential,46330.86534,26678.43283,906711365.7,30111.64834,24916.66667,23956.41297,36389.75381,1.256934767,0.25,0.868981671,deploy
97,Product_0075,Whse_A...Sequential,-1.541692652,2.945691017,23.05704607,4.801775304,0.75,0.829156198,30.7427281,5.791158913,0.75,0.001496955,retrain
98,Product_0076,Whse_J...Sequential,-122.5131584,723.5550986,1035262.21,1017.478358,566.6666667,657.4360974,1826.933311,1.547646018,0.25,0.868981671,deploy
99,Product_0077,Whse_S...Sequential,34804.45593,161891.9318,39453438224,198628.8957,78166.66667,121584.5613,504734.8174,1.633668729,0.583333333,0.031436056,retrain
100,Product_0078,Whse_A...Sequential,-3034.825996,6415.523803,70470551.87,8394.674018,2983.333333,3314.320778,23621.41403,2.532848985,0.416666667,0.255775185,retrain
101,Product_0078,Whse_J...Sequential,53.03384112,3050.33799,17869198.33,4227.197456,2308.333333,2441.80887,7741.168952,1.731174585,0.25,0.868981671,deploy
102,Product_0079,Whse_J...Sequential,99530.14213,57200.16285,7410118183,86082.04332,44833.33333,79108.39961,165281.4465,1.088153012,0.5,0.099546772,retrain
103,Product_0080,Whse_J...Sequential,2286.080679,2944.603151,16342919.42,4042.637681,6408.333333,2731.439893,2550.260508,1.480039041,0.25,0.868981671,deploy
104,Product_0081,Whse_A...Sequential,1464.277773,2052.695043,6340400.781,2518.015246,2700,2110.292239,2348.296585,1.193206893,0.25,0.868981671,deploy
105,Product_0081,Whse_J...Sequential,2031.980104,16812.73276,324799473,18022.1939,19341.66667,5674.131113,16792.7345,3.176203289,1,7.40E-07,retrain
106,Product_0082,Whse_J...Sequential,127092.5756,61234.06377,5781266619,76034.64091,135333.3333,49873.72945,42718.71886,1.524542916,0.166666667,0.998485294,deploy
107,Product_0082,Whse_S...Sequential,63684.15157,55133.49238,6347110615,79668.75558,39307.69231,49513.61058,161472.4814,1.609027389,0.230769231,0.897805704,deploy
108,Product_0083,Whse_C...Sequential,164892.3796,218480.9218,76297755911,276220.4842,233083.3333,135828.6042,327341.1051,2.033595838,0.166666667,0.998485294,deploy
109,Product_0083,Whse_J...Sequential,187364.9234,97953.36127,14721088442,121330.4926,256750,80296.45592,57336.27436,1.511031729,0.25,0.868981671,deploy
110,Product_0083,Whse_S...Sequential,4819394.004,1172740.198,2.02513E+12,1423071.64,3790666.667,996651.7557,534241.8813,1.427852438,0.25,0.868981671,deploy
111,Product_0084,Whse_S...Sequential,211493.256,79400.58831,12651156078,112477.3581,207333.3333,114205.4679,61018.43768,0.984868415,0.333333333,0.53609777,deploy and monitor
112,Product_0085,Whse_J...Sequential,14682.67036,92955.01835,13881584326,117820.1355,37583.33333,24588.13512,369354.7936,4.791747519,0.583333333,0.031436056,retrain
113,Product_0086,Whse_J...Sequential,22743.89622,17976.89506,495634154,22262.84245,28583.33333,15924.08204,17339.9704,1.398061275,0.416666667,0.255775185,retrain
114,Product_0087,Whse_J...Sequential,4402.836725,1607.875733,3850333.018,1962.226546,3141.666667,1107.89465,1225.570191,1.771130988,0.5,0.099546772,retrain
115,Product_0088,Whse_J...Sequential,-8.50E-13,4721.738154,30626212.08,5534.095417,5491.666667,2715.528903,5576.851973,2.037943846,0.833333333,0.00020413,retrain
116,Product_0089,Whse_J...Sequential,24411.79864,52803.07339,4501450923,67092.853,68000,30566.86659,66197.80769,2.194953571,0.5,0.099546772,retrain
117,Product_0090,Whse_J...Sequential,4996.60741,3461.849911,18177442.11,4263.501156,1783.333333,1156.563396,10192.95819,3.686353183,0.5,0.099546772,retrain
118,Product_0091,Whse_A...Sequential,963.3107847,832.248029,887605.9335,942.1284061,833.3333333,600.4627845,1065.12712,1.569003826,0.333333333,0.53609777,deploy and monitor
119,Product_0093,Whse_C...Sequential,74888.7925,22517.74957,712112688.3,26685.43963,30895.83333,21309.58761,23048.82605,1.252273864,0.166666667,0.998485294,deploy
120,Product_0093,Whse_J...Sequential,78327.78205,35149.11021,2190093978,46798.43991,39416.66667,35345.66412,55562.63793,1.324022085,0.333333333,0.53609777,deploy and monitor
121,Product_0094,Whse_C...Sequential,350496.1591,343550.1386,3.65659E+11,604697.7334,308557.6923,182301.1075,1185059.903,3.317027207,0.538461538,0.044272446,retrain
122,Product_0094,Whse_S...Sequential,262461.2311,105169.586,23404447163,152985.1207,9645.833333,11636.17668,2426378.972,13.14737005,0.5,0.099546772,retrain
123,Product_0095,Whse_J...Sequential,8270.532942,14070.64735,375566636.7,19379.54171,11500,7127.55802,32657.96841,2.718959516,0.25,0.868981671,deploy
